No,ID,NAMA,HARGA,STOK,TERJUAL,RATING
37,,IC LAMPU IC LIGHT IC DISPLAY XIAOMI REDMI 5A XIAOMI 5A ORIGINAL ORI,Rp20.000,55,45,"4,4"
38,,tombol luar on of volume oppo f1,Rp16.200,979,21,"4,8"
39,,simlock sim tray slot sim sony Z3 big Z3 mini compact Tempat kartu sony,Rp7.000,68,32,"4,5"
40,,BACKDOOR TUTUP BELAKANG CASING KESING XIOMI MI3 MI 3 MI3W MI 3W ORI,Rp30.000,99985,14,"4,3"
41,,konektor conektor lcd Oppo f5 di papan,Rp15.000,34,18,"4,3"
42,,Tombol Luar On off Volume Oppo F1 F1f Tombol power Vol atas bawah,Rp9.600,968,57,"3,8"
43,,Bateray Baterai Batre Huawei Y3 Y336 Y5 Y500 Y516 Y518 Y520 Y535 Y541 U02 T8833 Y8833 Batre HB5V1,Rp50.000,92,8,"4,4"
44,,Obeng set 10 in 1 tool set,Rp20.000,93,7,5
45,,SIMTRAY SAMSUNG S8 PLUS SAMSUNG S8+ SLOT SIMCARD S8+,Rp20.000,991,9,5
46,,Temperglass Vivo y65 1719,Rp19.800,90,10,5
47,,Touchscreen tc ts layar sentuh mito a880 a990,Rp200.000,2,8,5
48,,BAUT HANDPHONE / HP CINA / SAMSUNG PENDEK,Rp12.000,99,10,5
49,,Batere Batre Batrai Samsung Galaxy Core 1 GT-18262 Original Battery Ne,Rp92.400,89,11,4
50,,Touchscreen Huawei Y3ii 4G LUA-L22 gold original,Rp62.280,91,9,"4,8"
51,,CONNECTOR LCD KONEKTOR LCD SOKET LCD XIAOMI REDMI NOTE 4,Rp12.500,90,10,5
52,,PENJEPIT LCD TOUCHSCREEN BACKDOOR PENEKAN LCD UNIVERSAL isi 1pcs,Rp10.000,83,7,5
53,,ORIGINAL Batre Baterai Batere Battery Lenovo A7000 - A7000 Plus - A7700 BL243 GARANSI,Rp50.000,93,7,5
54,,ORIGINAL Baterai Batere Battery Xiaomi Xiomi Redmi Note 1 4G BM42 3200mAh GARANSI,Rp59.400,94,6,5
55,,Jarum pembuka simcard,Rp150,86,12,"4,5"
56,,TOUCHSCREEN TS LAYAR SENTUH ADVAN I6C I 6 C ORIGINAL,Rp45.000,94,6,"4,7"
57,,CONEKTOR CAS SAMSUNG J1 J2 J5 J7 per pcs,Rp2.500,83,17,5
58,,SWITCH ON OFF SAMSUNG S5360 SMALL - J500 - ASUS ZE500CL POWER New Original,Rp7.200,94,6,5
59,,TOMBOL VOLUME ON OFF OPPO NEO 7 A33 A33W - TOMBOL LUAR,Rp8.000,93,6,"4,5"
60,,DRUM HP 85A - HP P1102 - M1132 OEM Japan (Paket 2 Pcs),Rp27.500,30,48,"4,9"
61,,LCD LAYAR TAMPILAN SAMSUNG M20 SM-M205F SM-M205FN SM-M205G SM-M205F/DS SM-M205FN/DS SM-M205G/DS FULSET TOUCHSCREEN / LAYAR SENTUH / TS / TC / KACA DEPAN ORIGINAL - SPAREPART HP SAMSUNG,Rp345.000,-,-,"4,8"
62,,BOARD CHARGER XIAOMI REDMI 4A PCB KONEKTOR CHARGING USB PORT + MIC SOKET CASAN / PLUG IN CONNECTOR - SPAREPART HP XIAOMI,Rp20.000,-,-,"4,7"
63,,IC POWER REDMI 7 IC POWER OPPO A3S CPH1803 CPH1853 PMI632-502-00 - Sparepart HP Oppo,Rp46.000,-,-,4
64,,TS Advan S50K Layar Sentuh HP Touchscreen Kaca Sparepart Handphone,Rp50.486,-,-,5
65,,TS Evercoss A74N Layar Touchscreen Sparepart HP,Rp76.931,-,-,0
66,,BAUT HP / SPAREPART,Rp10.000,-,-,5
67,,Kaca Depan Nokia 3 Layar HP Sparepart Handphone Glass LCD,Rp31.080,-,-,5
68,,Fleksibel On Off Volume Xiaomi Redmi 3 Redmi 4x Redmi 4a Redmi 4x Redmi 5 Redmi 5 Flexible Xiaomi Sparepart HP,Rp9.000,-,-,5
69,,Kaca Depan Infinix HOT 9 Layar HP Sparepart Handphone Glass LCD,Rp31.080,-,-,0
